,location,BHK,total_sqft,bath,price
7335,Karve Road,1,600.0,1.0,52.0
7336,Kasba Peth,2,1180.0,2.0,70.0
7337,Katraj,2,1010.0,2.0,50.0
7338,Khadaki,2,1070.0,2.0,38.0
7339,Khadki,3,1580.0,3.0,105.0
7341,Kondhwa,3,2000.0,3.0,165.0
7342,Kondhwa Budruk,3,1920.0,3.0,130.0
7343,Kondhwa Khurd,3,1200.0,2.0,76.0
7344,Koregaon Park,2,1040.0,2.0,45.0
7345,Kothrud,3,1430.0,2.0,90.0
7346,Law College Road,3,1215.0,2.0,52.85
7347,Laxmi Road,1,650.0,1.0,70.0
7348,Lulla Nagar,3,1564.0,3.0,105.0
7349,Mahatma Gandhi Road,3,800.0,2.0,52.0
7350,Mangalwar peth,2,750.0,2.0,58.0
7351,Manik Bagh,2,1200.0,2.0,60.0
7352,Market yard,2,1128.0,2.0,48.79
7353,Model colony,2,1200.0,2.0,44.4
7354,Mukund Nagar,4,2000.0,4.0,135.0
7357,Nana Peth,3,1650.0,3.0,105.0
7359,Narayangaon,2,1200.0,2.0,55.0
7361,Padmavati,2,985.0,2.0,42.0
7362,Parvati Darshan,3,1475.0,2.0,63.0
7364,Paud Road,3,1157.0,2.0,53.99
7365,Pirangut,2,900.0,2.0,35.0
7366,Prabhat Road,4,2500.0,3.0,120.0
7367,Pune Railway Station,2,1030.0,2.0,60.0
7368,Rasta Peth,2,1000.0,2.0,46.0
7371,Sahakar Nagar,5,1950.0,6.0,175.0
7372,Salunke Vihar,3,1570.0,2.0,65.94
7373,Sasson Road,2,1283.0,2.0,68.0
7374,Satara Road,3,875.0,2.0,40.0
7375,Senapati Bapat Road,2,1200.0,2.0,52.0
7377,Shivaji Nagar,3,2400.0,2.0,180.0
7378,Shukrawar Peth,3,1250.0,2.0,68.75
7380,Somwar Peth,2,990.0,2.0,37.62
7381,Swargate,2,1199.0,2.0,85.0
7382,Tilak Road,2,1280.0,2.0,90.0
7384,Vadgaon Budruk,2,1190.0,2.0,55.0
7385,Wadgaon Sheri,2,1100.0,2.0,60.0
7386,Viman Nagar,3,2075.0,3.0,175.0
7387,Vishrant Wadi,2,1133.0,2.0,55.0
7388,Wagholi,4,2400.0,3.0,140.0
7389,Wakadewadi,2,1280.0,2.0,69.0
7390,Wanowrie,3,1250.0,3.0,65.0
7391,Warje,3,1565.0,2.0,49.3
7392,Yerawada,3,1900.0,3.0,65.0
7393,Alandi Road,2,1080.0,2.0,45.0
7394,Ambegaon Budruk,1,600.0,1.0,47.0
7396,Aundh,3,1335.0,2.0,87.0
7397,Aundh Road,2,1246.0,2.0,67.3
7399,Baner,3,1385.0,3.0,55.0
7400,Baner road,3,1578.0,3.0,73.9
7401,Bhandarkar Road,2,1140.0,2.0,46.0
7402,Bhavani Peth,3,1700.0,3.0,79.9
7403,Bibvewadi,4,1050.0,4.0,90.0
7404,Bopodi,2,1120.0,2.0,70.0
7405,Budhwar Peth,1,435.0,1.0,22.0
7406,Bund Garden Road,2,1116.0,2.0,51.89
7407,Camp,3,1480.0,3.0,95.0
7408,Chandan Nagar,2,1000.0,2.0,50.0
7409,Dapodi,2,1145.0,2.0,46.0
7410,Deccan Gymkhana,2,800.0,1.0,32.0
7411,Dehu Road,2,1265.0,2.0,83.0
7412,Dhankawadi,3,1700.0,3.0,88.2
7413,Dhayari Phata,2,1475.0,2.0,70.0
7414,Dhole Patil Road,2,1265.0,2.0,55.0
7415,Erandwane,2,1200.0,2.0,58.0
7416,Fatima Nagar,3,2180.0,3.0,210.0
7417,Fergusson College Road,2,1080.0,2.0,50.0
7418,Ganesh Peth,3,2023.0,4.0,130.0
7419,Ganeshkhind,2,2400.0,2.0,125.0
7420,Ghorpade Peth,3,1545.0,2.0,66.0
7421,Ghorpadi,3,1804.0,3.0,166.0
7423,Gultekdi,3,1350.0,2.0,58.0
7424,Guruwar peth,2,1108.0,2.0,74.23
7425,Hadapsar,3,1730.0,3.0,115.0
7426,Hadapsar Industrial Estate,3,1427.0,2.0,70.0
7427,Hingne Khurd,2,935.0,2.0,35.53
7428,Jangali Maharaj Road,2,1073.0,2.0,31.77
7429,Kalyani Nagar,2,960.0,2.0,37.0
7430,Karve Nagar,3,2215.0,4.0,150.0
7431,Karve Road,2,1125.0,2.0,32.49
7432,Kasba Peth,2,1230.0,2.0,55.0
7433,Katraj,2,1438.0,2.0,89.0
7434,Khadaki,2,1080.0,2.0,75.0
7435,Khadki,3,1200.0,3.0,125.0
7436,Kharadi,2,1200.0,1.0,103.0
7437,Kondhwa,3,1590.0,3.0,58.0
7438,Kondhwa Budruk,3,1350.0,3.0,68.0
7439,Kondhwa Khurd,3,1400.0,2.0,48.0
7440,Koregaon Park,3,1560.0,2.0,72.0
7441,Kothrud,4,1810.0,3.0,57.0
7442,Law College Road,3,2274.24,4.0,160.0
7443,Laxmi Road,3,1484.0,3.0,74.18
7445,Mahatma Gandhi Road,3,1455.0,2.0,55.0
7446,Mangalwar peth,3,2280.0,4.0,184.0
7448,Market yard,3,2079.0,3.0,220.0
7449,Model colony,2,1351.0,2.0,74.0
7450,Mukund Nagar,3,1223.0,2.0,42.81
7451,Mundhawa,3,1430.0,2.0,61.0
7453,Nana Peth,3,1310.0,2.0,37.83
7456,Navi Peth,2,984.0,2.0,55.0
7457,Padmavati,3,1770.0,3.0,100.0
7459,Pashan,5,1350.0,5.0,120.0
7460,Paud Road,2,1447.0,2.0,75.97
7461,Pirangut,2,1140.0,2.0,60.0
7462,Prabhat Road,2,1170.0,2.0,34.0
7463,Pune Railway Station,2,1160.0,2.0,46.39
7464,Rasta Peth,2,1296.0,2.0,89.0
7465,Raviwar Peth,3,1570.0,3.0,80.0
7466,Sadashiv Peth,3,1495.0,2.0,65.0
7467,Sahakar Nagar,3,1530.0,2.0,67.0
7469,Sasson Road,3,1800.0,3.0,70.0
7470,Satara Road,2,1088.0,2.0,48.0
7471,Senapati Bapat Road,3,1533.0,3.0,98.18
7472,Shaniwar Peth,2,1100.0,2.0,68.0
7473,Shivaji Nagar,3,1540.0,3.0,90.0
7474,Shukrawar Peth,2,1244.0,3.0,48.0
7475,Sinhagad Road,2,1040.0,2.0,68.59
7476,Somwar Peth,6,1034.0,6.0,101.0
7477,Swargate,2,1260.0,2.0,39.69
7478,Tilak Road,2,1180.0,2.0,41.3
7479,Uruli Devachi,2,1245.0,2.0,100.0
7480,Vadgaon Budruk,3,1350.0,3.0,75.0
7481,Wadgaon Sheri,3,1464.0,3.0,56.0
7482,Viman Nagar,1,470.0,2.0,10.0
7483,Vishrant Wadi,2,920.0,2.0,60.0
7484,Wagholi,6,2300.0,7.0,160.0
7485,Wakadewadi,2,1124.0,2.0,30.35
7486,Wanowrie,4,2095.0,3.0,109.0
7487,Warje,2,1100.0,2.0,71.42
7488,Yerawada,2,1019.0,2.0,58.0
7489,Alandi Road,3,1756.0,3.0,128.0
7490,Ambegaon Budruk,3,1280.0,3.0,50.0
7491,Anandnagar,4,1200.0,3.0,125.0
7492,Aundh,3,1700.0,3.0,150.0
7493,Aundh Road,3,2134.0,4.0,118.0
7494,Balaji Nagar,2,1369.1,2.0,98.0
7497,Bhandarkar Road,3,2515.0,4.0,155.0
7498,Bhavani Peth,3,2215.0,4.0,154.0
7499,Bibvewadi,3,1440.0,3.0,72.0
7500,Bopodi,3,1186.0,2.0,55.33
7501,Budhwar Peth,3,1350.0,2.0,47.24
7502,Bund Garden Road,3,1800.0,3.0,140.0
7503,Camp,3,1600.0,3.0,79.0
7504,Chandan Nagar,2,1000.0,2.0,35.0
7506,Deccan Gymkhana,3,1305.0,2.0,59.0
7507,Dehu Road,3,1740.0,3.0,150.0
7508,Dhankawadi,2,900.0,2.0,90.0
7509,Dhayari Phata,2,1567.0,3.0,140.0
7510,Dhole Patil Road,3,1082.0,2.0,45.5
7511,Erandwane,2,1050.0,2.0,80.0
7512,Fatima Nagar,2,1200.0,2.0,56.0
7514,Ganesh Peth,2,1220.0,2.0,52.0
7515,Ganeshkhind,3,1970.0,3.0,164.0
7517,Ghorpadi,4,2130.0,4.0,120.0
7518,Gokhale Nagar,3,1749.0,3.0,120.0
7519,Gultekdi,2,1260.0,2.0,108.0
7520,Guruwar peth,3,1276.0,2.0,48.0
7521,Hadapsar,2,1170.0,2.0,120.0
7522,Hadapsar Industrial Estate,3,1670.0,3.0,75.0
7523,Hingne Khurd,3,2264.0,3.0,168.0
7525,Kalyani Nagar,2,1100.0,2.0,55.0
7526,Karve Nagar,2,674.0,1.0,19.9
7529,Katraj,2,1125.0,2.0,65.0
7530,Khadaki,2,1125.0,2.0,44.5
7531,Khadki,2,700.0,2.0,29.0
7532,Kharadi,3,1300.0,2.0,75.0
7533,Kondhwa,3,1600.0,3.0,83.0
7534,Kondhwa Budruk,3,1052.0,2.0,60.0
7536,Koregaon Park,2,1130.0,2.0,36.0
7538,Law College Road,3,2200.0,3.0,220.0
7539,Laxmi Road,3,1500.0,2.0,63.0
7540,Lulla Nagar,3,1350.0,3.0,47.25
7541,Mahatma Gandhi Road,3,1230.0,2.0,52.0
7542,Mangalwar peth,3,1520.0,2.0,85.0
7543,Manik Bagh,1,525.0,1.0,26.25
7544,Market yard,2,1040.0,2.0,61.0
7545,Model colony,3,1300.0,2.0,67.0
7547,Mundhawa,1,780.0,1.0,70.0
7548,Nagar Road,2,1140.0,2.0,51.2
7549,Nana Peth,3,1225.0,3.0,33.08
7550,Narayan Peth,1,646.0,1.0,25.84
7551,Narayangaon,3,1600.0,3.0,150.0
7552,Navi Peth,3,1890.0,4.0,125.0
7553,Padmavati,2,1050.0,2.0,34.0
7554,Parvati Darshan,6,1200.0,4.0,100.0
7555,Pashan,3,1458.0,2.0,62.0
7556,Paud Road,5,1200.0,6.0,86.0
7557,Pirangut,3,1970.0,3.0,160.0
7558,Prabhat Road,3,1808.0,4.0,80.0
7559,Pune Railway Station,2,1007.0,2.0,67.0
7560,Rasta Peth,2,1105.0,2.0,50.0
7561,Raviwar Peth,3,1700.0,3.0,150.0
7562,Sadashiv Peth,2,1170.0,2.0,50.0
7563,Sahakar Nagar,2,1080.0,2.0,45.0
7564,Salunke Vihar,3,1150.0,2.0,62.0
7565,Sasson Road,2,1200.0,2.0,57.9
7566,Satara Road,2,1200.0,2.0,54.0
7567,Senapati Bapat Road,3,1656.0,3.0,75.0
7569,Shivaji Nagar,2,1040.0,2.0,50.0
7570,Shukrawar Peth,2,1085.0,2.0,33.7
7571,Sinhagad Road,3,1215.0,2.0,49.75
7572,Somwar Peth,4,2150.0,4.0,115.0
7573,Swargate,4,1100.0,4.0,120.0
7574,Tilak Road,2,1210.0,2.0,77.0
7575,Uruli Devachi,2,1050.0,2.0,55.0
7577,Wadgaon Sheri,3,1920.0,3.0,150.0
7578,Viman Nagar,3,1250.0,2.0,50.0
7579,Vishrant Wadi,2,947.55,2.0,80.0
7580,Wagholi,2,1421.0,2.0,90.0
7582,Wanowrie,3,1425.0,2.0,74.31
7583,Warje,2,1162.0,2.0,58.0
7584,Yerawada,1,905.0,1.0,60.0
7585,Alandi Road,2,914.0,2.0,32.0
7586,Ambegaon Budruk,2,1258.0,2.0,58.0
7591,Baner,3,1537.0,2.0,70.0
7592,Baner road,3,1230.0,2.0,53.51
7594,Bhavani Peth,3,2250.0,3.0,200.0
7595,Bibvewadi,4,2000.0,4.0,69.0
7599,Camp,2,950.0,2.0,32.0
7601,Dapodi,3,1282.0,2.0,48.72
7602,Deccan Gymkhana,2,1304.0,2.0,111.0
7603,Dehu Road,3,2100.0,3.0,200.0
7604,Dhankawadi,3,1220.0,2.0,49.0
7605,Dhayari Phata,3,1636.0,3.0,85.0
7606,Dhole Patil Road,3,1415.0,3.0,65.0
7608,Fatima Nagar,3,1728.0,3.0,125.0
7609,Fergusson College Road,3,1680.0,3.0,125.0
7613,Ghorpadi,2,1495.0,2.0,83.0
7615,Gultekdi,3,2501.0,3.0,138.0
7616,Guruwar peth,1,381.0,1.0,28.0
7618,Hadapsar Industrial Estate,3,2002.0,3.0,120.0
7620,Jangali Maharaj Road,2,1200.0,2.0,70.0
7622,Karve Nagar,3,1942.0,3.0,90.0
7623,Karve Road,3,1522.5,2.69,60.75
7626,Khadaki,3,1450.0,3.0,90.0
7627,Khadki,2,1039.0,2.0,50.0
7628,Kharadi,2,1210.0,2.0,80.0
7629,Kondhwa,2,995.0,1.0,24.88
7630,Kondhwa Budruk,3,1620.0,3.0,90.0
7633,Kothrud,2,1314.0,2.0,55.0
7634,Law College Road,2,945.0,2.0,33.0
7635,Laxmi Road,3,1374.0,3.0,72.0
7636,Lulla Nagar,3,1603.0,3.0,113.0
7637,Mahatma Gandhi Road,3,1230.0,2.0,52.0
7638,Mangalwar peth,1,670.0,1.0,50.0
7639,Manik Bagh,4,1864.0,3.0,105.0
7640,Market yard,3,2500.0,3.0,100.0
7641,Model colony,3,1625.0,2.0,54.0
7642,Mukund Nagar,2,1186.0,2.0,55.0
7644,Nagar Road,2,770.0,1.0,39.9
7645,Nana Peth,2,1085.0,2.0,45.0
7647,Narayangaon,3,1893.0,3.0,115.0
7648,Navi Peth,4,600.0,3.0,65.0
7649,Padmavati,3,1496.0,2.0,78.0
7650,Parvati Darshan,3,1305.0,3.0,33.28
7651,Pashan,3,1550.0,2.0,82.0
7652,Paud Road,3,1200.0,2.0,58.17
7653,Pirangut,3,1494.0,2.0,94.55
7654,Prabhat Road,2,1286.0,2.0,69.0
7656,Rasta Peth,3,1860.0,3.0,95.0
7658,Sadashiv Peth,2,1243.0,2.0,45.0
7659,Sahakar Nagar,2,1200.0,2.0,75.0
7660,Salunke Vihar,2,1044.0,2.0,32.0
7661,Sasson Road,2,1040.0,2.0,41.59
7662,Satara Road,2,1125.0,2.0,36.94
7664,Shaniwar Peth,3,1278.0,2.0,59.0
7665,Shivaji Nagar,6,2400.0,6.0,98.0
7666,Shukrawar Peth,2,1250.0,2.0,43.0
7667,Sinhagad Road,5,2400.0,6.0,125.0
7669,Swargate,2,1210.0,2.0,75.0
7670,Tilak Road,4,1200.0,3.0,110.0
7671,Uruli Devachi,3,1157.0,2.0,57.84
7672,Vadgaon Budruk,2,1185.0,2.0,51.15
7673,Wadgaon Sheri,3,1450.0,3.0,100.0
7674,Viman Nagar,3,1859.0,3.0,121.0
7676,Wagholi,2,900.0,1.0,25.0
7677,Wakadewadi,3,1305.0,3.0,60.0
7678,Wanowrie,3,1200.0,2.0,100.0
7679,Warje,1,784.0,1.0,35.285
7681,Alandi Road,2,1150.0,2.0,36.8
7682,Ambegaon Budruk,3,1806.0,3.0,85.0
7683,Anandnagar,2,1027.0,2.0,42.0
7684,Aundh,2,1002.0,2.0,40.08
7685,Aundh Road,3,1220.0,2.0,36.21
7686,Balaji Nagar,2,1109.0,2.0,35.22
7687,Baner,2,1002.0,2.0,40.08
7688,Baner road,2,1308.0,2.0,89.04
7689,Bhandarkar Road,2,1232.0,2.0,69.6
7690,Bhavani Peth,2,1027.0,2.0,44.0
7691,Bibvewadi,2,1250.0,2.0,65.0
7693,Budhwar Peth,4,960.0,4.0,80.0
7694,Bund Garden Road,2,1255.0,2.0,53.87
7695,Camp,3,1434.0,3.0,84.0
7696,Chandan Nagar,2,925.0,2.0,30.0
7697,Dapodi,3,1858.0,3.0,123.0
7698,Deccan Gymkhana,2,1205.0,2.0,70.0
7699,Dehu Road,3,1500.0,3.0,90.0
7701,Dhayari Phata,2,1020.0,2.0,48.95
7702,Dhole Patil Road,2,965.0,2.0,56.0
7704,Fatima Nagar,6,1200.0,4.0,90.0
7705,Fergusson College Road,2,1636.0,2.0,82.89
7706,Ganesh Peth,3,1724.0,3.0,125.0
7707,Ganeshkhind,2,1216.0,2.0,67.0
7708,Ghorpade Peth,1,654.0,1.0,36.25
7709,Ghorpadi,4,2460.0,7.0,80.0
7710,Gokhale Nagar,2,1190.0,2.0,41.0
7712,Guruwar peth,3,1636.0,3.0,92.0
7713,Hadapsar,2,1195.0,2.0,73.0
7714,Hadapsar Industrial Estate,3,2400.0,3.0,251.0
7715,Hingne Khurd,2,1250.0,2.0,67.0
7716,Jangali Maharaj Road,3,1452.0,3.0,90.0
7717,Kalyani Nagar,3,1546.0,3.0,95.0
7720,Kasba Peth,2,2260.0,3.0,80.0
7724,Kharadi,1,375.0,1.0,26.0
7725,Kondhwa,2,1007.0,2.0,66.0
7726,Kondhwa Budruk,1,1276.0,1.0,125.0
7728,Koregaon Park,2,1020.0,2.0,47.0
7730,Law College Road,2,800.0,3.0,59.5
7731,Laxmi Road,5,1200.0,3.0,95.0
7732,Lulla Nagar,2,1125.0,2.0,55.0
7734,Mangalwar peth,3,909.0,2.0,43.0
7736,Market yard,2,1400.0,2.0,85.0
7737,Model colony,2,1152.0,2.0,61.0
7738,Mukund Nagar,2,958.0,2.0,34.49
7739,Mundhawa,2,1150.0,2.0,55.0
7741,Nana Peth,2,1310.0,2.0,85.0
7742,Narayan Peth,3,1590.0,2.0,126.0
7743,Narayangaon,3,1645.0,3.0,110.0
7744,Navi Peth,3,1800.0,2.0,100.0
7745,Padmavati,3,1795.0,3.0,150.0
7746,Parvati Darshan,2,1100.0,2.0,35.0
7747,Pashan,1,777.0,1.0,38.535
7748,Paud Road,2,925.0,2.0,70.0
7749,Pirangut,3,1542.14,3.0,120.0
7751,Pune Railway Station,3,1430.0,2.0,54.0
7752,Rasta Peth,2,1020.0,2.0,55.0
7753,Raviwar Peth,4,750.0,2.0,42.0
7754,Sadashiv Peth,2,1140.0,2.0,32.92
7755,Sahakar Nagar,3,967.0,2.0,45.0
7756,Salunke Vihar,4,2470.0,4.0,203.0
7757,Sasson Road,2,850.0,1.0,35.5
7758,Satara Road,2,1100.0,2.0,32.0
7759,Senapati Bapat Road,3,1697.0,3.0,110.0
7760,Shaniwar Peth,2,1250.0,2.0,47.0
7761,Shivaji Nagar,2,1120.0,2.0,50.0
7762,Shukrawar Peth,4,1200.0,4.0,95.0
7765,Swargate,2,1200.0,2.0,52.0
7766,Tilak Road,2,1100.0,2.0,44.0
7767,Uruli Devachi,3,1417.0,2.0,76.0
7768,Vadgaon Budruk,3,1492.0,3.0,88.0
7769,Wadgaon Sheri,3,1498.0,3.0,79.15
7771,Vishrant Wadi,2,1010.0,2.0,48.27
7772,Wagholi,2,1255.0,2.0,53.5
7773,Wakadewadi,2,1050.0,2.0,35.0
7774,Wanowrie,3,1847.0,3.0,125.0
7775,Warje,2,1200.0,2.0,55.0
7776,Yerawada,2,982.0,2.0,37.28
7777,Alandi Road,3,2144.6,4.0,145.0
7778,Ambegaon Budruk,2,750.0,2.0,36.5
7779,Anandnagar,2,919.0,2.0,35.0
7780,Aundh,2,1087.0,2.0,54.3
7781,Aundh Road,3,1480.0,3.0,74.0
7782,Balaji Nagar,2,1180.0,2.0,52.0
7784,Baner road,3,1221.0,3.0,65.0
7785,Bhandarkar Road,2,1194.0,2.0,46.0
7786,Bhavani Peth,3,2072.0,3.0,122.0
7787,Bibvewadi,3,1600.0,3.0,69.0
7788,Bopodi,3,2200.0,3.0,98.0
7790,Bund Garden Road,2,1253.0,2.0,81.5
7791,Camp,2,1061.0,2.0,54.92
7792,Chandan Nagar,3,1950.0,3.0,115.0
7793,Dapodi,2,1250.0,2.0,68.0
7794,Deccan Gymkhana,3,1585.0,2.0,80.0
7795,Dehu Road,3,1452.0,3.0,60.98
7796,Dhankawadi,2,1015.0,2.0,37.0
7797,Dhayari Phata,4,2464.5,6.0,118.0
7798,Dhole Patil Road,2,1125.0,2.0,56.8
7799,Erandwane,2,1116.0,2.0,40.0
7800,Fatima Nagar,1,400.0,1.0,35.0
7803,Ganeshkhind,2,1300.0,2.0,100.0
7804,Ghorpade Peth,2,1419.0,2.0,60.42
7805,Ghorpadi,3,1310.0,2.0,55.0
7806,Gokhale Nagar,3,2072.0,4.0,152.0
7807,Gultekdi,2,1240.0,2.0,58.58
7808,Guruwar peth,3,1565.0,3.0,98.91
7809,Hadapsar,3,1820.0,3.0,89.0
7810,Hadapsar Industrial Estate,3,2500.0,3.0,88.0
7812,Jangali Maharaj Road,2,1245.0,2.0,62.0
7813,Kalyani Nagar,3,1315.0,3.0,65.0
7814,Karve Nagar,3,1410.0,2.0,73.0
7815,Karve Road,2,1375.0,2.0,60.0
7816,Kasba Peth,2,1299.0,2.0,95.0
7817,Katraj,2,993.0,2.0,45.5
7818,Khadaki,2,1200.0,3.0,45.0
7820,Kharadi,4,2400.0,5.0,180.0
7821,Kondhwa,3,1255.0,2.0,95.0
7822,Kondhwa Budruk,3,1655.0,3.0,131.0
7825,Kothrud,2,550.0,1.0,15.0
7826,Law College Road,1,825.0,2.0,40.0
7827,Laxmi Road,3,1634.0,3.0,111.0
7828,Lulla Nagar,8,1200.0,6.0,105.0
7829,Mahatma Gandhi Road,2,1222.0,2.0,80.0
7830,Mangalwar peth,3,1500.0,3.0,63.0
7831,Manik Bagh,3,1890.0,4.0,100.0
7833,Model colony,2,850.0,1.0,39.5
7834,Mukund Nagar,2,1295.0,2.0,78.5
7835,Mundhawa,2,1320.0,2.0,100.0
7839,Narayangaon,2,1197.0,2.0,82.0
7840,Navi Peth,3,1320.0,2.0,60.0
7841,Padmavati,5,1180.0,5.0,98.5
7842,Parvati Darshan,1,840.0,1.0,57.6
7843,Pashan,1,640.0,1.0,19.83
7844,Paud Road,3,1693.0,3.0,71.38
7845,Pirangut,2,1000.0,2.0,62.0
7846,Prabhat Road,2,1305.0,2.0,70.0
7847,Pune Railway Station,1,450.0,1.0,18.0
7848,Rasta Peth,1,705.0,1.0,57.0
7849,Raviwar Peth,4,750.0,6.0,75.0
7853,Sasson Road,3,1991.0,3.0,104.0
7854,Satara Road,3,1779.0,3.0,90.0
7856,Shaniwar Peth,2,870.0,2.0,38.0
7857,Shivaji Nagar,3,1595.0,3.0,120.0
7858,Shukrawar Peth,1,525.0,1.0,26.0
7861,Swargate,3,2000.0,4.0,138.0
7862,Tilak Road,3,1614.0,3.0,93.0
7863,Uruli Devachi,2,1200.0,2.0,40.0
7864,Vadgaon Budruk,3,1150.0,3.0,46.0
7866,Viman Nagar,3,1610.0,3.0,80.48
7867,Vishrant Wadi,2,1190.0,2.0,41.0
7868,Wagholi,2,1050.0,2.0,50.0
7870,Wanowrie,3,1460.0,2.0,97.0
7872,Yerawada,1,600.0,1.0,33.0
7873,Alandi Road,3,1569.0,3.0,70.0
7875,Anandnagar,1,645.0,1.0,42.5
7878,Balaji Nagar,2,800.0,2.0,80.0
7879,Baner,2,1350.0,2.0,90.0
7881,Bhandarkar Road,3,1410.0,2.0,45.12
7882,Bhavani Peth,2,1109.0,2.0,35.47
7884,Bopodi,1,800.0,1.0,72.0
7885,Budhwar Peth,2,1215.0,2.0,68.0
7887,Camp,3,2273.0,4.0,192.0
7888,Chandan Nagar,2,1255.0,2.0,52.76
7889,Dapodi,2,1020.0,2.0,49.0
7890,Deccan Gymkhana,3,1225.0,2.0,82.0
7891,Dehu Road,2,1120.0,2.0,60.0
7893,Dhayari Phata,3,1225.0,2.0,69.0
7896,Fatima Nagar,3,1984.0,4.0,145.0
7897,Fergusson College Road,3,2425.0,3.0,197.0
7898,Ganesh Peth,3,1200.0,3.0,56.12
7899,Ganeshkhind,2,1127.0,2.0,45.0
7900,Ghorpade Peth,3,1655.0,3.0,97.0
7901,Ghorpadi,1,500.0,1.0,14.0
7902,Gokhale Nagar,3,1200.0,3.0,68.38
7903,Gultekdi,2,1000.0,2.0,43.0
7904,Guruwar peth,2,1225.0,2.0,47.88
7905,Hadapsar,2,1350.0,2.0,45.0
7907,Hingne Khurd,2,1175.0,2.0,49.0
7908,Jangali Maharaj Road,1,655.0,1.0,27.0
7909,Kalyani Nagar,3,1311.0,2.0,84.86
7911,Karve Road,2,1000.0,2.0,38.5
7912,Kasba Peth,2,1196.0,2.0,96.0
7913,Katraj,3,1050.0,2.0,59.0
7914,Khadaki,3,1275.0,2.0,52.0
7915,Khadki,2,927.0,2.0,50.0
7916,Kharadi,3,1520.0,2.0,61.0
7918,Kondhwa Budruk,2,1333.0,2.0,104.0
7919,Kondhwa Khurd,1,600.0,1.0,18.0
7920,Koregaon Park,3,1326.0,2.0,34.8
7921,Kothrud,3,1773.5,2.69,85.125
7922,Law College Road,2,1370.0,2.0,125.0
7923,Laxmi Road,2,1100.0,2.0,85.0
7924,Lulla Nagar,3,1650.0,3.0,100.0
7925,Mahatma Gandhi Road,3,1917.0,3.0,132.0
7926,Mangalwar peth,3,780.0,3.0,75.0
7927,Manik Bagh,2,950.0,2.0,58.11
7928,Market yard,2,1175.0,2.0,48.72
7929,Model colony,2,1089.0,2.0,43.55
7930,Mukund Nagar,3,1804.0,3.0,175.0
7931,Mundhawa,2,1257.0,2.0,68.5
7932,Nagar Road,1,650.0,1.0,19.87
7933,Nana Peth,3,1850.0,3.0,150.0
7935,Narayangaon,2,945.0,2.0,40.0
7936,Navi Peth,2,1161.0,2.0,63.85
7937,Padmavati,3,1630.0,3.0,51.35
7938,Parvati Darshan,3,1310.0,2.0,60.0
7939,Pashan,2,750.0,2.0,28.0
7940,Paud Road,3,1200.0,3.0,67.77
7941,Pirangut,2,1000.0,2.0,45.0
7943,Pune Railway Station,2,1315.0,2.0,70.0
7944,Rasta Peth,3,1370.0,2.0,90.0
7946,Sadashiv Peth,2,1465.0,3.0,90.0
7948,Salunke Vihar,2,1128.0,2.0,64.0
7949,Sasson Road,3,1250.0,2.0,70.0
7950,Satara Road,3,1645.0,3.0,117.0
7951,Senapati Bapat Road,3,1284.0,2.0,75.0
7953,Shivaji Nagar,3,1820.0,3.0,150.0
7954,Shukrawar Peth,3,1580.0,3.0,73.0
7956,Somwar Peth,2,1215.0,2.0,68.0
7957,Swargate,2,1075.0,2.0,40.0
7958,Tilak Road,3,1400.0,2.0,78.0
7959,Uruli Devachi,3,1400.0,2.0,55.0
7960,Vadgaon Budruk,2,845.0,2.0,30.0
7963,Vishrant Wadi,2,800.0,2.0,85.0
7964,Wagholi,2,1199.0,2.0,85.0
7965,Wakadewadi,2,1175.0,2.0,43.48
7967,Warje,3,1767.0,3.0,109.0
7968,Yerawada,4,1800.0,3.0,90.0
7969,Alandi Road,3,1856.0,3.0,135.0
7971,Anandnagar,3,1613.0,3.0,150.0
7973,Aundh Road,2,1290.0,2.0,90.0
7974,Balaji Nagar,2,1375.0,2.0,78.0
7975,Baner,2,985.0,2.0,57.0
7977,Bhandarkar Road,2,1099.0,2.0,37.5
7978,Bhavani Peth,1,605.0,1.0,13.31
7981,Budhwar Peth,2,1200.0,2.0,53.0
7982,Bund Garden Road,2,1000.0,2.0,45.0
7983,Camp,3,1159.0,2.0,38.0
7987,Dehu Road,3,1540.0,2.0,78.0
7988,Dhankawadi,3,1503.0,2.0,93.0
7989,Dhayari Phata,3,1850.0,4.0,120.0
7990,Dhole Patil Road,3,1580.0,3.0,60.0
7991,Erandwane,2,1190.0,2.0,39.25
7992,Fatima Nagar,2,1200.0,2.0,61.0
7994,Ganesh Peth,2,850.0,1.0,19.9
7996,Ghorpade Peth,3,2500.0,2.0,60.0
7997,Ghorpadi,3,1200.0,3.0,56.12
7998,Gokhale Nagar,3,1500.0,2.0,52.0
8000,Guruwar peth,3,1880.0,3.0,120.0
8001,Hadapsar,2,1150.0,2.0,45.0
8003,Hingne Khurd,2,924.0,2.0,35.11
8007,Karve Road,3,1962.0,3.0,175.0
8009,Katraj,3,1765.0,3.0,77.27
8010,Khadaki,2,1174.0,2.0,29.35
8011,Khadki,3,1894.0,3.0,115.0
8013,Kondhwa,3,1760.0,3.0,142.0
8014,Kondhwa Budruk,3,1768.0,3.0,95.0
8015,Kondhwa Khurd,3,1790.0,3.0,97.0
8017,Kothrud,2,1200.0,2.0,45.0
8018,Law College Road,4,2540.0,4.0,160.0
